# INPUT Frame vs Extension file: "dist_vs_frame.dat"
# INPUT Frame Range => frame_index_start: -1  |  frame_index_end: 160000.0
# INPUT Extension Range => ext_start: 0.0  |  ext_end: 50.0
# INPUT Extension Bins => Count: 2000  | Bin Size: 0.025
# INPUT Moving Average Window Size: 50 extension bins (or 1.25 extension units)
# ---------------------------------------
EXT	PDF_AVG
1.225	0.0
1.25	0.0
1.275	0.0
1.3	0.0
1.325	0.0
1.35	0.0
1.375	0.0
1.4	0.0
1.425	0.0
1.45	0.0
1.475	0.0
1.5	0.0
1.525	0.0
1.55	0.0
1.575	0.0
1.6	0.0
1.625	0.0
1.65	0.0
1.675	0.0
1.7	0.0
1.725	0.0
1.75	0.0
1.775	0.0
1.8	0.0
1.825	0.0
1.85	0.0
1.875	0.0
1.9	0.0
1.925	0.0
1.95	0.0
1.975	0.0
2.0	0.0
2.025	0.0
2.05	0.0
2.075	0.0
2.1	0.0
2.125	0.0
2.15	0.0
2.175	0.0
2.2	0.0
2.225	0.0
2.25	0.0
2.275	0.0
2.3	0.0
2.325	0.0
2.35	0.0
2.375	0.0
2.4	0.0
2.425	0.0
2.45	0.0
2.475	0.0
2.5	0.0
2.525	0.0
2.55	0.0
2.575	0.0
2.6	0.0
2.625	0.0
2.65	0.0
2.675	0.0
2.7	0.0
2.725	0.0
2.75	0.0
2.775	0.0
2.8	0.0
2.825	0.0
2.85	0.0
2.875	0.0
2.9	0.0
2.925	0.0
2.95	0.0
2.975	0.0
3.0	0.0
3.025	0.0
3.05	0.0
3.075	0.0
3.1	0.0
3.125	0.0
3.15	0.0
3.175	0.0
3.2	0.0
3.225	0.0
3.25	0.0
3.275	0.0
3.3	0.0
3.325	0.0
3.35	0.0
3.375	0.0
3.4	0.0
3.425	0.0
3.45	0.0
3.475	0.0
3.5	0.0
3.525	0.0
3.55	0.0
3.575	0.0
3.6	0.0
3.625	0.0
3.65	0.0
3.675	0.0
3.7	0.0
3.725	0.0
3.75	0.0
3.775	0.0
3.8	0.0
3.825	0.0
3.85	0.0
3.875	0.0
3.9	0.0
3.925	0.0
3.95	0.0
3.975	0.0
4.0	0.0
4.025	0.0
4.05	0.0
4.075	0.0
4.1	0.0
4.125	0.0
4.15	0.0
4.175	0.0
4.2	0.0
4.225	0.0
4.25	0.0
4.275	0.0
4.3	0.0
4.325	0.0
4.35	0.0
4.375	0.0
4.4	0.0
4.425	0.0
4.45	0.0
4.475	0.0
4.5	0.0
4.525	0.0
4.55	0.0
4.575	0.0
4.6	0.0
4.625	0.0
4.65	0.0
4.675	0.0
4.7	0.0
4.725	0.0
4.75	0.0
4.775	0.0
4.8	0.0
4.825	0.0
4.85	0.0
4.875	0.0
4.9	0.0
4.925	0.0
4.95	0.0
4.975	0.0
5.0	0.0
5.025	0.0
5.05	0.0
5.075	0.0
5.1	0.0
5.125	0.0
5.15	0.0
5.175	0.0
5.2	0.0
5.225	0.0
5.25	0.0
5.275	0.0
5.3	0.0
5.325	0.0
5.35	0.0
5.375	0.0
5.4	0.0
5.425	0.0
5.45	0.0
5.475	0.0
5.5	0.0
5.525	0.0
5.55	0.0
5.575	0.0
5.6	0.0
5.625	0.0
5.65	0.0
5.675	0.0
5.7	0.0
5.725	0.0
5.75	0.0
5.775	0.0
5.8	0.0
5.825	0.0
5.85	0.0
5.875	0.0
5.9	0.0
5.925	0.0
5.95	0.0
5.975	0.0
6.0	0.0
6.025	0.0
6.05	0.0
6.075	0.0
6.1	0.0
6.125	0.0
6.15	0.0
6.175	0.0
6.2	0.0
6.225	0.0
6.25	0.0
6.275	0.0
6.3	0.0
6.325	0.0
6.35	0.0
6.375	0.0
6.4	0.0
6.425	0.0
6.45	0.0
6.475	0.0
6.5	0.0
6.525	0.0
6.55	0.0
6.575	0.0
6.6	0.0
6.625	0.0
6.65	0.0
6.675	0.0
6.7	0.0
6.725	0.0
6.75	0.0
6.775	0.0
6.8	0.0
6.825	0.0
6.85	0.0
6.875	0.0
6.9	0.0
6.925	5.000156254883072e-06
6.95	5.000156254883072e-06
6.975	5.000156254883072e-06
7.0	5.000156254883072e-06
7.025	5.000156254883072e-06
7.05	1.0000312509766143e-05
7.075	1.0000312509766143e-05
7.1	1.0000312509766143e-05
7.125	1.0000312509766143e-05
7.15	1.0000312509766143e-05
7.175	1.0000312509766143e-05
7.2	1.0000312509766143e-05
7.225	1.0000312509766143e-05
7.25	1.0000312509766143e-05
7.275	1.0000312509766143e-05
7.3	1.0000312509766143e-05
7.325	1.0000312509766143e-05
7.35	1.0000312509766143e-05
7.375	1.0000312509766143e-05
7.4	1.0000312509766143e-05
7.425	1.0000312509766143e-05
7.45	1.0000312509766143e-05
7.475	1.0000312509766143e-05
