# -------------------- First Passage Time (FPT) Distribution from Simulation Trajectory -------------------
# INPUT frame_vs_ext file: "dist_vs_frame.dat"
# INPUT Frame Range: [0, 50000] | Frame Count: 50000 | Time b/w Frames: 200 fs
# INPUT x_a: 17.0 | x_b: 27.2 | x_bins: 100 | x_bin_size: 0.102 | Normalize PDF: True
# -----------------------------------------------
# OUTPUT -> FPT Frame Step: 2500 | FPT samples: 20 | Normalize FPT: True
# -----------------------------------------------
FRAME	TIME	PDF_AREA	FPT
2500	5e-10	0.3962001592024873009	0.22500264456655500527
5000	1e-09	0.23579993570475768494	0.16422691138859061737
7500	1.5000000000000002e-09	0.1822667161525233781	0.09801064311714564387
10000	2e-09	0.13830003993754658165	0.08131734316175072758
12500	2.5e-09	0.11412003192078974678	0.040002886381980066028
15000	3.0000000000000004e-09	0.14279998594491238872	0.010100411654695584979
17500	3.5000000000000003e-09	0.17119997519949109455	0.01561967006135949204
20000	4e-09	0.19017496016640761392	0.02767461725288949406
22500	4.500000000000001e-09	0.19737773761100904646	0.024246901124163419183
25000	5e-09	0.22237995966579374163	0.0
27500	5.5000000000000004e-09	0.27221807102754325136	0.00403993661863476114
30000	6.000000000000001e-09	0.2901165380145120376	0.010856179413983919265
32500	6.5e-09	0.3279690852766721787	0.019685081539185192732
35000	7.000000000000001e-09	0.330342962613929092	0.054972487462792299275
37500	7.500000000000001e-09	0.30614674220393389703	0.062142737797603190555
40000	8e-09	0.29591257467274567627	0.03596148349127315837
42500	8.5e-09	0.31775302154670903576	0.023643908987441660558
45000	9.000000000000001e-09	0.3291778651745529971	0.033256396787862952225
47500	9.5e-09	0.33411587882429483187	0.035395081532729488077
50000	1e-08	0.34178009597975111955	0.0338446776593633274
