# -------------- Splitting Probability from Simulation Trajectory ----------------
# INPUT Frame vs Extension file: "dist_vs_frame.dat"
# INPUT Frame Range => frame_index_start: -1  |  frame_index_end: 160000.0
# INPUT Absorbing Boundaries => x_a (LEFT): 14  |  x_b (RIGHT): 28
# INPUT Bin Count => Frame Bins: 16000  |  Extension Bins: 40
# INPUT Thermal Energy (KbT): 0.5961281070745698 kcal/mol/K
# ---------------------------------------
EXT_BIN	EXT_BIN_START	EXT_BIN_END	EXT_BIN_MED	SP	PMF_RE
5	13.911118274332038	14.898356407397335	14.404737340864687	1.0	-3.4718666
6	14.898356407397335	15.885594540462634	15.391975473929985	0.9970443	-3.6441
7	15.885594540462634	16.87283267352793	16.379213606995283	0.995572	-3.1041195
8	16.87283267352793	17.860070806593228	17.36645174006058	0.98608965	-1.9775859
9	17.860070806593228	18.847308939658525	18.353689873125877	0.9230769	-1.118947
10	18.847308939658525	19.834547072723822	19.340928006191174	0.68	-0.75369096
11	19.834547072723822	20.82178520578912	20.32816613925647	0.35820895	-0.7723406
12	20.82178520578912	21.809023338854416	21.315404272321768	0.13253012	-1.1186135
13	21.809023338854416	22.796261471919713	22.302642405387065	0.051948052	-2.1019356
16	24.770737738050308	25.757975871115608	23.289880538452362	0.046770602	-2.385645
17	25.757975871115608	26.745214004180905	24.27711867151766	0.03764321	-2.5427258
18	26.745214004180905	27.732452137246202	25.26435680458296	0.01867816	-2.368268
#19	27.732452137246202	28.7196902703115	26.251594937648257	0.0	-2.3728285
#
# Backup --------------
#12	20.82178520578912	21.809023338854416	21.315404272321768	0.13253012	-1.1186135
#13	21.809023338854416	22.796261471919713	22.302642405387065	0.051948052	-2.1019356
#14	22.796261471919713	23.78349960498501	23.289880538452362	0.07368421
#15	23.78349960498501	24.770737738050308	24.27711867151766	0.074204944	-2.5682812
#16	24.770737738050308	25.757975871115608	25.26435680458296	0.046770602	-2.385645
#17	25.757975871115608	26.745214004180905	26.251594937648257	0.03764321	-2.5427258
#18	26.745214004180905	27.732452137246202	27.238833070713554	0.01867816	-2.368268
#19	27.732452137246202	28.7196902703115	28.22607120377885	0.0	-2.3728285
