X	PMF_IM
-110.0	-3.865340331848997
-109.98316498316498	-3.86582876011105
-109.96632996632997	-3.866316666755858
-109.94949494949495	-3.866804051922802
-109.93265993265993	-3.8672909157513744
-109.91582491582491	-3.8677772583811723
-109.8989898989899	-3.868263079951905
-109.88215488215488	-3.868748380603388
-109.86531986531986	-3.869233160475545
-109.84848484848484	-3.869717419708409
-109.83164983164983	-3.870201158442117
-109.81481481481481	-3.870684376816916
-109.79797979797979	-3.87116707497316
-109.78114478114477	-3.8716492530513067
-109.76430976430976	-3.8721309111919235
-109.74747474747475	-3.872612049535682
-109.73063973063974	-3.873092668223361
-109.71380471380472	-3.873572767395844
-109.6969696969697	-3.8740523471941195
-109.68013468013469	-3.874531407759282
-109.66329966329967	-3.8750099492325307
-109.64646464646465	-3.8754879717551685
-109.62962962962963	-3.875965475468604
-109.61279461279462	-3.8764424605143484
-109.5959595959596	-3.8769189270340183
-109.57912457912458	-3.877394875169333
-109.56228956228956	-3.877870305062115
-109.54545454545455	-3.8783452168542896
-109.52861952861953	-3.878819610687886
-109.51178451178451	-3.879293486705036
-109.4949494949495	-3.879766845047971
-109.47811447811448	-3.880239685859028
-109.46127946127946	-3.8807120092806437
-109.44444444444444	-3.8811838154553575
-109.42760942760943	-3.8816551045258096
-109.41077441077441	-3.8821258766347397
-109.39393939393939	-3.8825961319249913
-109.37710437710437	-3.8830658705395047
-109.36026936026936	-3.883535092621326
-109.34343434343434	-3.8840037983135947
-109.32659932659932	-3.884471987759554
-109.3097643097643	-3.8849396611025475
-109.29292929292929	-3.8854068184860147
-109.27609427609427	-3.8858734600534968
-109.25925925925925	-3.886339585948633
-109.24242424242425	-3.8868051963151595
-109.22558922558923	-3.8872702912969133
-109.20875420875421	-3.8877348710378277
-109.1919191919192	-3.8881989356819346
-109.17508417508418	-3.8886624853733625
-109.15824915824916	-3.8891255202563384
-109.14141414141415	-3.8895880404751857
-109.12457912457913	-3.890050046174324
-109.10774410774411	-3.890511537498269
-109.0909090909091	-3.8909725145916347
-109.07407407407408	-3.8914329775991305
-109.05723905723906	-3.89189292666556
-109.04040404040404	-3.8923523619358233
-109.02356902356902	-3.8928112835549156
-109.006734006734	-3.8932696916679284
-108.98989898989899	-3.893727586420045
-108.97306397306397	-3.894184967956547
-108.95622895622895	-3.8946418364228066
-108.93939393939394	-3.8950981919642924
-108.92255892255892	-3.8955540347265663
-108.9057239057239	-3.8960093648552836
-108.88888888888889	-3.8964641824961923
-108.87205387205387	-3.8969184877951335
-108.85521885521885	-3.897372280898043
-108.83838383838383	-3.8978255619509454
-108.82154882154882	-3.898278331099962
-108.8047138047138	-3.8987305884913024
-108.78787878787878	-3.899182334271269
-108.77104377104376	-3.8996335685862586
-108.75420875420875	-3.900084291582756
-108.73737373737374	-3.9005345034073358
-108.72053872053873	-3.9009842042066687
-108.70370370370371	-3.9014333941275114
-108.68686868686869	-3.901882073316713
-108.67003367003367	-3.902330241921211
-108.65319865319866	-3.9027779000880347
-108.63636363636364	-3.9032250479643023
-108.61952861952862	-3.90367168569722
-108.6026936026936	-3.9041178134340853
-108.58585858585859	-3.9045634313222832
-108.56902356902357	-3.905008539509287
-108.55218855218855	-3.9054531381426596
-108.53535353535354	-3.905897227370052
-108.51851851851852	-3.906340807339201
-108.5016835016835	-3.906783878197934
-108.48484848484848	-3.9072264400941625
-108.46801346801347	-3.9076684931758887
-108.45117845117845	-3.908110037591199
-108.43434343434343	-3.908551073488268
-108.41750841750842	-3.9089916010153556
-108.4006734006734	-3.909431620320809
-108.38383838383838	-3.9098711315530608
-108.36700336700336	-3.9103101348606284
-108.35016835016835	-3.910748630392117
-108.33333333333333	-3.911186618296214
-108.31649831649831	-3.9116240987216955
-108.2996632996633	-3.9120610718174182
-108.28282828282828	-3.9124975377323263
-108.26599326599326	-3.9129334966154476
-108.24915824915826	-3.9133689486158927
-108.23232323232324	-3.9138038938828585
-108.21548821548822	-3.9142383325656223
-108.1986531986532	-3.9146722648135475
-108.18181818181819	-3.9151056907760786
-108.16498316498317	-3.915538610602744
-108.14814814814815	-3.915971024443154
-108.13131313131314	-3.916402932447003
-108.11447811447812	-3.9168343347640646
-108.0976430976431	-3.917265231544197
-108.08080808080808	-3.9176956229373383
-108.06397306397307	-3.9181255090935103
-108.04713804713805	-3.9185548901628113
-108.03030303030303	-3.9189837662954266
-108.01346801346801	-3.9194121376416176
-107.996632996633	-3.919840004351728
-107.97979797979798	-3.920267366576182
-107.96296296296296	-3.920694224465482
-107.94612794612794	-3.9211205781702145
-107.92929292929293	-3.92154642784104
-107.91245791245791	-3.9219717736287008
-107.89562289562289	-3.9223966156840184
-107.87878787878788	-3.9228209541578942
-107.86195286195286	-3.923244789201307
-107.84511784511784	-3.9236681209653126
-107.82828282828282	-3.924090949601047
-107.8114478114478	-3.924513275259724
-107.79461279461279	-3.924935098092634
-107.77777777777777	-3.9253564182511456
-107.76094276094275	-3.925777235886704
-107.74410774410774	-3.926197551150832
-107.72727272727273	-3.926617364195128
-107.71043771043772	-3.9270366751712693
-107.6936026936027	-3.9274554842310074
-107.67676767676768	-3.92787379152617
-107.65993265993266	-3.928291597208661
-107.64309764309765	-3.9287089014304604
-107.62626262626263	-3.9291257043436234
-107.60942760942761	-3.929542006100278
-107.5925925925926	-3.929957806852632
-107.57575757575758	-3.9303731067529633
-107.55892255892256	-3.9307879059536264
-107.54208754208754	-3.931202204607049
-107.52525252525253	-3.9316160028657343
-107.50841750841751	-3.932029300882257
-107.49158249158249	-3.932442098809268
-107.47474747474747	-3.9328543967994896
-107.45791245791246	-3.9332661950057175
-107.44107744107744	-3.9336774935808205
-107.42424242424242	-3.93408829267774
-107.4074074074074	-3.93449859244949
-107.39057239057239	-3.934908393049157
-107.37373737373737	-3.935317694629898
-107.35690235690235	-3.935726497344943
-107.34006734006734	-3.9361348013475936
-107.32323232323232	-3.9365426067912215
-107.3063973063973	-3.9369499138292703
-107.28956228956228	-3.937356722615255
-107.27272727272727	-3.93776303330276
-107.25589225589226	-3.93816884604544
-107.23905723905725	-3.938574160997022
-107.22222222222223	-3.9389789783113
-107.20538720538721	-3.9393832981421397
-107.1885521885522	-3.9397871206434756
-107.17171717171718	-3.9401904459693116
-107.15488215488216	-3.94059327427372
-107.13804713804714	-3.9409956057108424
-107.12121212121212	-3.9413974404348906
-107.10437710437711	-3.941798778600142
-107.08754208754209	-3.9421996203609435
-107.07070707070707	-3.942599965871711
-107.05387205387206	-3.9429998152869246
-107.03703703703704	-3.9433991687611374
-107.02020202020202	-3.943798026448965
-107.003367003367	-3.944196388505091
-106.98653198653199	-3.944594255084268
-106.96969696969697	-3.944991626341313
-106.95286195286195	-3.9453885024311104
-106.93602693602693	-3.9457848835086113
-106.91919191919192	-3.946180769728831
-106.9023569023569	-3.9465761612468517
-106.88552188552188	-3.946971058217822
-106.86868686868686	-3.947365460796954
-106.85185185185185	-3.9477593691395265
-106.83501683501683	-3.948152783400881
-106.81818181818181	-3.948545703736427
-106.8013468013468	-3.9489381303016344
-106.78451178451178	-3.9493300632520425
-106.76767676767676	-3.949721502743248
-106.75084175084174	-3.9501124489309185
-106.73400673400674	-3.95050290197078
-106.71717171717172	-3.9508928620186228
-106.7003367003367	-3.9512823292303025
-106.68350168350169	-3.951671303761737
-106.66666666666667	-3.9520597857689044
-106.64983164983165	-3.9524477754078475
-106.63299663299664	-3.9528352728346725
-106.61616161616162	-3.953222278205545
-106.5993265993266	-3.953608791676695
-106.58249158249158	-3.953994813404412
-106.56565656565657	-3.9543803435450484
-106.54882154882155	-3.954765382255017
-106.53198653198653	-3.9551499296907915
-106.51515151515152	-3.9555339860089083
-106.4983164983165	-3.955917551365963
-106.48148148148148	-3.956300625918611
-106.46464646464646	-3.9566832098235687
-106.44781144781145	-3.9570653032376124
-106.43097643097643	-3.9574469063175783
-106.41414141414141	-3.957828019220363
-106.3973063973064	-3.958208642102921
-106.38047138047138	-3.9585887751222653
-106.36363636363636	-3.9589684184354708
-106.34680134680134	-3.959347572199668
-106.32996632996633	-3.959726236572048
-106.31313131313131	-3.96010441170986
-106.29629629629629	-3.9604820977704103
-106.27946127946127	-3.9608592949110646
-106.26262626262626	-3.961236003289243
-106.24579124579125	-3.9616122230624295
-106.22895622895624	-3.9619879543881584
-106.21212121212122	-3.9623631974240254
-106.1952861952862	-3.9627379523276822
-106.17845117845118	-3.9631122192568355
-106.16161616161617	-3.9634859983692508
-106.14478114478115	-3.963859289822749
-106.12794612794613	-3.964232093775208
-106.11111111111111	-3.9646044103845584
-106.0942760942761	-3.9649762398087893
-106.07744107744108	-3.9653475822059465
-106.06060606060606	-3.965718437734127
-106.04377104377105	-3.9660888065514865
-106.02693602693603	-3.966458688816233
-106.01010101010101	-3.9668280846866315
-105.993265993266	-3.9671969943210006
-105.97643097643098	-3.9675654178777107
-105.95959595959596	-3.967933355515191
-105.94276094276094	-3.968300807391921
-105.92592592592592	-3.968667773666434
-105.9090909090909	-3.969034254497319
-105.89225589225589	-3.9694002500432166
-105.87542087542087	-3.9697657604628214
-105.85858585858585	-3.970130785914879
-105.84175084175084	-3.97049532655819
-105.82491582491582	-3.9708593825516054
-105.8080808080808	-3.9712229540540305
-105.79124579124579	-3.9715860412244224
-105.77441077441077	-3.971948644221788
-105.75757575757575	-3.972310763205188
-105.74074074074073	-3.972672398333734
-105.72390572390573	-3.9730335497665887
-105.70707070707071	-3.9733942176629657
-105.6902356902357	-3.973754402182132
-105.67340067340068	-3.9741141034833998
-105.65656565656566	-3.974473321726138
-105.63973063973064	-3.9748320570697624
-105.62289562289563	-3.9751903096737387
-105.60606060606061	-3.9755480796975844
-105.58922558922559	-3.9759053673008653
-105.57239057239057	-3.976262172643198
-105.55555555555556	-3.9766184958842477
-105.53872053872054	-3.9769743371837283
-105.52188552188552	-3.9773296967014033
-105.5050505050505	-3.977684574597086
-105.48821548821549	-3.978038971030636
-105.47138047138047	-3.978392886161963
-105.45454545454545	-3.9787463201510254
-105.43771043771044	-3.9790992731578276
-105.42087542087542	-3.9794517453424234
-105.4040404040404	-3.9798037368649144
-105.38720538720538	-3.980155247885448
-105.37037037037037	-3.9805062785642225
-105.35353535353535	-3.9808568290614783
-105.33670033670033	-3.981206899537506
-105.31986531986531	-3.981556490152643
-105.3030303030303	-3.9819056010672718
-105.28619528619528	-3.9822542324418215
-105.26936026936026	-3.9826023844367686
-105.25252525252526	-3.982950057212635
-105.23569023569024	-3.9832972509299873
-105.21885521885523	-3.9836439657494394
-105.20202020202021	-3.9839902018316495
-105.18518518518519	-3.9843359593373204
-105.16835016835017	-3.9846812384272026
-105.15151515151516	-3.9850260392620886
-105.13468013468014	-3.9853703620028176
-105.11784511784512	-3.9857142068102718
-105.1010101010101	-3.986057573845379
-105.08417508417509	-3.9864004632691095
-105.06734006734007	-3.98674287524248
-105.05050505050505	-3.9870848099265483
-105.03367003367003	-3.9874262674824186
-105.01683501683502	-3.9877672480712363
-105.0	-3.9881077518541908
-104.98316498316498	-3.9884477789925152
-104.96632996632997	-3.9887873296474834
-104.94949494949495	-3.989126403980415
-104.93265993265993	-3.989465002152669
-104.91582491582491	-3.9898031243256495
-104.8989898989899	-3.990140770660802
-104.88215488215488	-3.990477941319612
-104.86531986531986	-3.9908146364636097
-104.84848484848484	-3.9911508562543654
