T	FPT
5e-06	-1.406031102939195328e-197
5.035035035035035e-06	-4.4146661008997778917e-199
5.070070070070071e-06	-1.3855184472406985795e-200
5.105105105105106e-06	-4.3465118786287794003e-202
5.14014014014014e-06	-1.3629693019034818868e-203
5.175175175175176e-06	-4.2721885228399769204e-205
5.210210210210211e-06	-1.33855527672643965e-206
5.2452452452452456e-06	-4.1922402722806585312e-208
5.28028028028028e-06	-1.3124486301844250651e-209
5.315315315315316e-06	-4.1072113195314612602e-211
5.350350350350351e-06	-1.2848209706910559212e-212
5.3853853853853856e-06	-4.0176418812180835893e-214
5.420420420420421e-06	-1.2558420706093067236e-215
5.455455455455456e-06	-3.924064628440744483e-217
5.490490490490491e-06	-1.2256787949207144785e-218
5.525525525525526e-06	-3.8270014808902944165e-220
5.560560560560561e-06	-1.1944941448628882063e-221
5.595595595595596e-06	-3.7269607632755278147e-223
5.630630630630631e-06	-1.162446415419571631e-224
5.665665665665666e-06	-3.6244347185263234913e-226
5.700700700700701e-06	-1.1296884643133997408e-227
5.735735735735736e-06	-3.5198973685961174033e-229
5.7707707707707715e-06	-1.096367089095463703e-230
5.805805805805806e-06	-3.4138027106210331263e-232
5.840840840840841e-06	-1.0626225080359736339e-233
5.875875875875877e-06	-3.3065832336497059278e-235
5.9109109109109115e-06	-1.0285879397971318064e-236
5.945945945945946e-06	-3.1986487391110585336e-238
5.980980980980982e-06	-9.943892763004023196e-240
6.016016016016017e-06	-3.0903854466012716566e-241
6.0510510510510515e-06	-9.601448427605525772e-243
6.086086086086087e-06	-2.9821553654114828056e-244
6.121121121121122e-06	-9.259652385581247683e-246
6.156156156156157e-06	-2.874295911433803019e-247
6.1911911911911915e-06	-8.919532524331336701e-249
6.226226226226227e-06	-2.7671197486615767142e-250
6.261261261261262e-06	-8.582038453924799057e-252
6.296296296296297e-06	-2.6609148343694452594e-253
6.3313313313313314e-06	-8.2480419473316852183e-255
6.366366366366367e-06	-2.5559446471981246391e-256
6.401401401401402e-06	-7.9183379265972159174e-258
6.436436436436437e-06	-2.4524485777526285659e-259
6.471471471471472e-06	-7.593645931340838353e-261
6.506506506506507e-06	-2.3506424618872329517e-262
6.541541541541542e-06	-7.274612007957047591e-264
6.5765765765765775e-06	-2.250719237586869142e-265
6.611611611611612e-06	-6.96181096048110792e-267
6.646646646646647e-06	-2.1528497072230737394e-268
6.681681681681683e-06	-6.6557489070009471758e-270
6.7167167167167174e-06	-2.0571833879259763432e-271
6.751751751751752e-06	-6.356866088676886348e-273
6.786786786786788e-06	-1.9638494338784544496e-274
6.821821821821823e-06	-6.0655398818597087295e-276
6.856856856856857e-06	-1.8729576154195727379e-277
6.891891891891893e-06	-5.782087967342250936e-279
6.926926926926928e-06	-1.7845993410026329718e-280
6.961961961961963e-06	-5.5067716144080109086e-282
6.996996996996998e-06	-1.6988487091947106758e-283
7.032032032032032e-06	-5.239799040990523492e-285
7.067067067067068e-06	-1.6157635790575512193e-286
7.102102102102103e-06	-4.9813288148805561887e-288
7.137137137137137e-06	-1.5353866482945819242e-289
7.172172172172173e-06	-4.7314732488803678714e-291
7.207207207207208e-06	-1.4577464478101938731e-292
7.2422422422422425e-06	-4.490302769871725518e-294
7.277277277277278e-06	-1.382714384795960593e-295
7.312312312312313e-06	-4.2713197412952742803e-297
7.347347347347348e-06	-1.273945537724852105e-298
7.382382382382383e-06	0.0
7.417417417417418e-06	0.0
7.452452452452453e-06	0.0
7.4874874874874886e-06	0.0
7.522522522522523e-06	0.0
7.557557557557558e-06	0.0
7.592592592592594e-06	0.0
7.6276276276276285e-06	0.0
7.662662662662663e-06	0.0
7.697697697697699e-06	0.0
7.732732732732735e-06	0.0
7.767767767767769e-06	0.0
7.802802802802804e-06	0.0
7.837837837837838e-06	0.0
7.872872872872874e-06	0.0
7.90790790790791e-06	0.0
7.942942942942943e-06	0.0
7.977977977977979e-06	0.0
8.013013013013013e-06	0.0
8.048048048048048e-06	0.0
8.083083083083084e-06	0.0
8.11811811811812e-06	0.0
8.153153153153154e-06	0.0
8.18818818818819e-06	0.0
8.223223223223223e-06	0.0
8.258258258258259e-06	0.0
8.293293293293294e-06	0.0
8.32832832832833e-06	0.0
8.363363363363364e-06	0.0
8.3983983983984e-06	0.0
8.433433433433434e-06	0.0
8.46846846846847e-06	0.0
8.503503503503505e-06	0.0
8.53853853853854e-06	0.0
8.573573573573574e-06	0.0
8.60860860860861e-06	0.0
8.643643643643644e-06	0.0
8.67867867867868e-06	0.0
8.713713713713715e-06	0.0
8.74874874874875e-06	0.0
8.783783783783785e-06	0.0
8.818818818818819e-06	0.0
8.853853853853854e-06	0.0
8.88888888888889e-06	0.0
8.923923923923926e-06	0.0
8.95895895895896e-06	0.0
8.993993993993995e-06	0.0
9.029029029029029e-06	0.0
9.064064064064065e-06	0.0
9.0990990990991e-06	0.0
9.134134134134136e-06	0.0
9.16916916916917e-06	0.0
9.204204204204206e-06	0.0
9.23923923923924e-06	0.0
9.274274274274275e-06	0.0
9.30930930930931e-06	0.0
9.344344344344346e-06	0.0
9.37937937937938e-06	0.0
9.414414414414414e-06	0.0
9.44944944944945e-06	0.0
9.484484484484486e-06	0.0
9.519519519519521e-06	0.0
9.554554554554557e-06	0.0
9.58958958958959e-06	0.0
9.624624624624625e-06	0.0
9.65965965965966e-06	0.0
9.694694694694696e-06	0.0
9.729729729729732e-06	0.0
