T	FPT
1e-05	-2.1210240526012758614
1.0612244897959184e-05	-1.4896234286316612971
1.1224489795918369e-05	-1.0461823647909011941
1.1836734693877552e-05	-0.7347478022714506992
1.2448979591836736e-05	-0.51602316298888109813
1.306122448979592e-05	-0.36240993701245739325
1.3673469387755104e-05	-0.25452532340737491393
1.4285714285714287e-05	-0.17875652304005178299
1.489795918367347e-05	-0.1255430858572263776
1.5510204081632655e-05	-0.08817058051117238459
1.612244897959184e-05	-0.061923372478506560927
1.6734693877551024e-05	-0.04348960885673918755
1.7346938775510206e-05	-0.030543331263157594274
1.795918367346939e-05	-0.021450988159366081025
1.8571428571428572e-05	-0.015065314553914903999
1.9183673469387756e-05	-0.010580570970796302411
1.979591836734694e-05	-0.007430875848348818594
2.0408163265306126e-05	-0.005218803033170752129
2.102040816326531e-05	-0.0036652348465310293217
2.1632653061224492e-05	-0.0025741432266995768529
2.2244897959183677e-05	-0.0018078550568460111922
2.2857142857142858e-05	-0.0012696806738583463778
2.3469387755102043e-05	-0.00089171364010213337174
2.4081632653061227e-05	-0.0006262623606550013772
2.4693877551020412e-05	-0.00043983239294588529536
2.5306122448979597e-05	-0.00030890014504625364088
2.591836734693878e-05	-0.00021694468378859189533
2.653061224489796e-05	-0.00015236313979146571397
2.7142857142857144e-05	-0.00010700666145269794245
2.775510204081633e-05	-7.5152202711793739746e-05
2.8367346938775514e-05	-5.2780392795041821854e-05
2.89795918367347e-05	-3.706837235165766521e-05
2.9591836734693883e-05	-2.6033611464498786004e-05
3.0204081632653068e-05	-1.8283751899647594225e-05
3.0816326530612246e-05	-1.2840922444280756268e-05
3.142857142857143e-05	-9.018350519487961367e-06
3.2040816326530615e-05	-6.3337078637371038805e-06
3.26530612244898e-05	-4.4482472176185507766e-06
3.3265306122448985e-05	-3.1240632910461975407e-06
3.387755102040817e-05	-2.194071313521561805e-06
3.4489795918367354e-05	-1.540925590251540703e-06
3.510204081632653e-05	-1.0822126614989935824e-06
3.571428571428572e-05	-7.600522858655645375e-07
3.63265306122449e-05	-5.3379447129825454893e-07
3.6938775510204086e-05	-3.7489119881356504668e-07
3.755102040816327e-05	-2.6329112501333186229e-07
3.8163265306122456e-05	-1.8491284892174776059e-07
3.877551020408164e-05	-1.2986671200226896394e-07
3.938775510204082e-05	-9.1207206717736082035e-08
4e-05	-6.405607381326783602e-08
