EXT_BIN	EXT_BIN_START	EXT_BIN_END	EXT_BIN_MED	SP	PMF_RE
6	17.719886371060255	19.710924721054724	18.71540554605749	1.0	-1.4973462
7	19.710924721054724	21.701963071049192	20.706443896051958	0.91887677	-1.4764957
8	21.701963071049192	23.693001421043665	22.697482246046427	0.8319783	-1.5015261
9	23.693001421043665	25.684039771038133	24.6885205960409	0.757764	-1.9125086
10	25.684039771038133	27.675078121032602	26.679558946035367	0.7511211	-1.7272112
11	27.675078121032602	29.66611647102707	28.670597296029836	0.64742917	-1.3487413
12	29.66611647102707	31.65715482102154	30.661635646024305	0.54294175	-1.5016592
13	31.65715482102154	33.64819317101601	32.65267399601878	0.48635235	-1.5356259
14	33.64819317101601	35.63923152101048	34.643712346013245	0.39078635	-1.4687191
15	35.63923152101048	37.63026987100495	36.634750696007714	0.31612447	-1.7834575
16	37.63026987100495	39.621308220999424	38.62578904600218	0.29038587	-1.7727875
17	39.621308220999424	41.61234657099389	40.61682739599666	0.21391076	-1.6459359
18	41.61234657099389	43.60338492098836	42.60786574599113	0.16393442	-1.6873714
19	43.60338492098836	45.59442327098283	44.598904095985596	0.09595016	-1.6252786
20	45.59442327098283	47.5854616209773	46.589942445980064	0.033024333	-1.8104848
21	47.5854616209773	49.57649997097177	48.58098079597453	0.0	-2.033101
