# ENERGIES extracted from NAMD .log file(s): [dna_gbis_pcf.log]
# Start Timestep: -1 | End Timestep: -1
# File written on: 2024-06-08 11:54:55.250885
#-----------------------------
#TS 	 TEMP
0 	 296.6452
100 	 297.4182
200 	 298.8824
300 	 295.8233
400 	 305.3694
500 	 302.5094
600 	 299.4242
700 	 303.9086
800 	 306.4875
900 	 295.5120
1000 	 297.2364
1100 	 304.0843
1200 	 301.1887
1300 	 299.3958
1400 	 305.8175
1500 	 297.7653
1600 	 297.1936
1700 	 294.1866
1800 	 302.8337
1900 	 296.5945
2000 	 299.7129
2100 	 295.2151
2200 	 303.6622
2300 	 299.5148
2400 	 300.4985
2500 	 298.0685
2600 	 302.8378
2700 	 303.2357
2800 	 295.1912
2900 	 304.1454
3000 	 299.1126
3100 	 300.0507
3200 	 302.7364
3300 	 307.8949
3400 	 299.8926
3500 	 296.9804
3600 	 299.9263
3700 	 302.1063
3800 	 300.2841
3900 	 300.5029
4000 	 301.1037
4100 	 300.3889
4200 	 296.1558
4300 	 300.5813
4400 	 294.5083
4500 	 298.3356
4600 	 299.4972
4700 	 301.3569
4800 	 305.4839
4900 	 298.7060
5000 	 304.2282
5100 	 305.5907
5200 	 297.2422
5300 	 299.3685
5400 	 299.1212
5500 	 302.3986
5600 	 295.5232
5700 	 303.2655
5800 	 299.4017
5900 	 295.9691
6000 	 302.0573
6100 	 297.1962
6200 	 297.9420
6300 	 299.1152
6400 	 301.9777
6500 	 294.5738
6600 	 300.3703
6700 	 303.8697
6800 	 300.7275
6900 	 304.9391
7000 	 301.9029
7100 	 304.1011
7200 	 302.0808
7300 	 302.0810
7400 	 304.1103
7500 	 299.1020
7600 	 306.5920
7700 	 304.6506
7800 	 297.0027
7900 	 304.4180
8000 	 298.0878
8100 	 303.4542
8200 	 293.2711
8300 	 304.3209
8400 	 300.2570
8500 	 297.6881
8600 	 298.1060
8700 	 303.8544
8800 	 294.7502
8900 	 302.9670
9000 	 301.1738
9100 	 302.2382
9200 	 300.6582
9300 	 308.2826
9400 	 299.4276
9500 	 297.0685
9600 	 304.5590
9700 	 298.5468
9800 	 305.5521
9900 	 294.8103
10000 	 305.8325
10100 	 302.6526
10200 	 298.4531
10300 	 303.9620
10400 	 300.9154
10500 	 298.4952
10600 	 296.6396
10700 	 302.4287
10800 	 301.7206
10900 	 296.4749
11000 	 299.3020
11100 	 300.5130
11200 	 297.6679
11300 	 300.2263
11400 	 293.5686
11500 	 299.1229
11600 	 296.2836
11700 	 304.2445
11800 	 300.6026
11900 	 302.5933
12000 	 298.2351
12100 	 298.4256
12200 	 299.8643
12300 	 303.9013
12400 	 299.4172
12500 	 300.7105
12600 	 298.3784
12700 	 297.6231
12800 	 291.7068
12900 	 298.6646
13000 	 296.6640
13100 	 304.7385
13200 	 303.7440
13300 	 293.2330
13400 	 301.0443
13500 	 302.7485
13600 	 296.9704
13700 	 306.1215
13800 	 302.8924
13900 	 306.0728
14000 	 300.7130
14100 	 298.2340
14200 	 305.3419
14300 	 295.6252
14400 	 297.7247
14500 	 298.0301
14600 	 304.8688
14700 	 296.6155
14800 	 299.8551
14900 	 288.7845
15000 	 303.1850
15100 	 294.8558
15200 	 301.4765
15300 	 296.6711
15400 	 308.3334
15500 	 295.9404
15600 	 303.7884
15700 	 302.4081
15800 	 301.8213
15900 	 296.8305
16000 	 293.4662
16100 	 297.8472
16200 	 304.8722
16300 	 297.0554
16400 	 297.1490
16500 	 298.7262
16600 	 295.7196
16700 	 300.2727
16800 	 296.3993
16900 	 302.2830
17000 	 300.2770
17100 	 304.0636
17200 	 308.4346
17300 	 298.8740
17400 	 307.7432
17500 	 295.2444
17600 	 301.1676
17700 	 303.4829
17800 	 295.9980
17900 	 297.6605
18000 	 301.6179
18100 	 298.6284
18200 	 291.2040
18300 	 304.9813
18400 	 298.9109
18500 	 309.1789
18600 	 293.1142
18700 	 296.0233
18800 	 303.4129
18900 	 293.6809
19000 	 301.7128
19100 	 303.0313
19200 	 298.5521
19300 	 299.9542
19400 	 299.0874
19500 	 300.4685
19600 	 300.3864
19700 	 302.2564
19800 	 297.9895
19900 	 300.0771
20000 	 304.0175
20100 	 305.1457
20200 	 303.0653
20300 	 300.4633
20400 	 300.0422
20500 	 307.2136
20600 	 299.4768
20700 	 304.4272
20800 	 299.8957
20900 	 294.9720
21000 	 302.2580
21100 	 298.4302
21200 	 294.4161
21300 	 299.8571
21400 	 296.4786
21500 	 300.5826
21600 	 293.8938
21700 	 298.7029
21800 	 303.2280
21900 	 303.4099
22000 	 297.5934
22100 	 305.9494
22200 	 300.8863
22300 	 303.9219
22400 	 302.8253
22500 	 298.1086
22600 	 297.0627
22700 	 298.4166
22800 	 307.4759
22900 	 307.8400
23000 	 298.8269
23100 	 304.0333
23200 	 301.4819
23300 	 304.2883
23400 	 302.9993
23500 	 297.3856
23600 	 304.3185
23700 	 294.4817
23800 	 301.5727
23900 	 297.5753
24000 	 304.1993
24100 	 299.1567
24200 	 297.1638
24300 	 300.9449
24400 	 294.6861
24500 	 302.3531
24600 	 298.7011
24700 	 297.4542
24800 	 298.2556
24900 	 297.8144
25000 	 302.1707
25100 	 304.8903
25200 	 299.1945
25300 	 297.9275
25400 	 298.8943
25500 	 300.3847
25600 	 298.6395
25700 	 295.1284
25800 	 298.8594
25900 	 297.1894
26000 	 304.6339
26100 	 297.5828
26200 	 304.9511
26300 	 300.2067
26400 	 296.4490
26500 	 296.5572
26600 	 298.8683
26700 	 299.2374
26800 	 298.2171
26900 	 302.0346
27000 	 303.5851
27100 	 295.7749
27200 	 301.8053
27300 	 300.2155
27400 	 298.8627
27500 	 307.2173
27600 	 302.5856
27700 	 296.4842
27800 	 302.0028
27900 	 300.8382
28000 	 297.8697
28100 	 297.8298
28200 	 302.4778
28300 	 297.5768
28400 	 306.6262
28500 	 300.9031
28600 	 296.7357
28700 	 307.5023
28800 	 296.8883
28900 	 302.2522
29000 	 295.3722
29100 	 300.0057
29200 	 298.0417
29300 	 298.5700
29400 	 294.0314
29500 	 301.3354
29600 	 298.0705
29700 	 293.2787
29800 	 299.1262
29900 	 298.7044
30000 	 296.3659
30100 	 307.2009
30200 	 303.0058
30300 	 299.2107
30400 	 294.3546
30500 	 302.7529
30600 	 297.4045
30700 	 299.4591
30800 	 302.6726
30900 	 303.9289
31000 	 307.5109
31100 	 299.8297
31200 	 296.0570
31300 	 302.8985
31400 	 301.1133
31500 	 299.0788
31600 	 303.9722
31700 	 302.3727
31800 	 297.9488
31900 	 299.9332
32000 	 302.8063
32100 	 306.5554
32200 	 300.6223
32300 	 297.1507
32400 	 293.7441
32500 	 299.0428
32600 	 301.8043
32700 	 293.1355
32800 	 296.8981
32900 	 296.6963
33000 	 299.7196
33100 	 302.9477
33200 	 304.1287
33300 	 291.9614
33400 	 299.1696
33500 	 302.9261
33600 	 302.6290
33700 	 300.7662
33800 	 303.8404
33900 	 300.7265
34000 	 309.2281
34100 	 298.5275
34200 	 301.4453
34300 	 297.5142
34400 	 303.6177
34500 	 300.6019
34600 	 305.8011
34700 	 298.3197
34800 	 300.5744
34900 	 302.8484
35000 	 300.4613
35100 	 301.9997
35200 	 301.0766
35300 	 297.4051
35400 	 300.2148
35500 	 299.5019
35600 	 301.2380
35700 	 296.9414
35800 	 300.9150
35900 	 297.8226
36000 	 307.6067
36100 	 301.7124
36200 	 300.2382
36300 	 294.9507
36400 	 301.7677
36500 	 306.0359
36600 	 304.1671
36700 	 297.3160
36800 	 304.6223
36900 	 298.1552
37000 	 297.0125
37100 	 300.0345
37200 	 299.8339
37300 	 299.0715
37400 	 293.8590
37500 	 299.7535
37600 	 307.6909
37700 	 303.4310
37800 	 294.3907
37900 	 298.9606
38000 	 306.2878
38100 	 302.4764
38200 	 301.8860
38300 	 300.3878
38400 	 297.0987
38500 	 305.0572
38600 	 297.5818
38700 	 290.6139
38800 	 298.2077
38900 	 303.3696
39000 	 295.4232
39100 	 301.6280
39200 	 296.1391
39300 	 293.7826
39400 	 296.5817
39500 	 302.6831
39600 	 298.9755
39700 	 300.5822
39800 	 298.5394
39900 	 302.3804
40000 	 302.4552
40100 	 299.1333
40200 	 299.0702
40300 	 297.8356
40400 	 307.4127
40500 	 303.9738
40600 	 306.5088
40700 	 306.4762
40800 	 299.9967
40900 	 300.0763
41000 	 295.7450
41100 	 296.5828
41200 	 299.7896
41300 	 300.0497
41400 	 297.7934
41500 	 300.1411
41600 	 304.7335
41700 	 299.9879
41800 	 301.3646
41900 	 294.9067
42000 	 299.3873
42100 	 300.0060
42200 	 301.5998
42300 	 299.6474
42400 	 298.4402
42500 	 303.9616
42600 	 303.5271
42700 	 300.7167
42800 	 297.6582
42900 	 302.4859
43000 	 303.2947
43100 	 300.8217
43200 	 301.8105
43300 	 301.2167
43400 	 297.9406
43500 	 295.7117
43600 	 290.1824
43700 	 297.2930
43800 	 296.9354
43900 	 299.9464
44000 	 301.6999
44100 	 295.9719
44200 	 300.7029
44300 	 305.4356
44400 	 294.1655
44500 	 303.2024
44600 	 295.9374
44700 	 304.0248
44800 	 303.3921
44900 	 302.5260
45000 	 294.8897
45100 	 298.2409
45200 	 301.3802
45300 	 301.4457
45400 	 299.3458
45500 	 294.5056
45600 	 302.6560
45700 	 293.6776
45800 	 305.3059
45900 	 302.8605
46000 	 301.2168
46100 	 296.6865
46200 	 302.6478
46300 	 299.9637
46400 	 293.1045
46500 	 299.6378
46600 	 300.4999
46700 	 297.1407
46800 	 302.8536
46900 	 300.9758
47000 	 300.5744
47100 	 304.3237
47200 	 303.4897
47300 	 296.8566
47400 	 296.3890
47500 	 297.2188
47600 	 295.9567
47700 	 303.8088
47800 	 301.9428
47900 	 300.7305
48000 	 298.1942
48100 	 299.9867
48200 	 304.1345
48300 	 307.8946
48400 	 297.0391
48500 	 295.4907
48600 	 302.3280
48700 	 297.4562
48800 	 295.3622
48900 	 288.9458
49000 	 301.3277
49100 	 299.9709
49200 	 293.9092
49300 	 296.3102
49400 	 296.7643
49500 	 298.6876
49600 	 297.2996
49700 	 296.4256
49800 	 299.2536
49900 	 294.3988
50000 	 303.1682
50100 	 295.5448
50200 	 290.5981
50300 	 300.7734
50400 	 301.4176
50500 	 298.1849
50600 	 302.3178
50700 	 304.2418
50800 	 301.4224
50900 	 302.8884
51000 	 299.2776
51100 	 298.0886
51200 	 296.3845
51300 	 300.7767
51400 	 299.8307
51500 	 296.9890
51600 	 302.5974
51700 	 298.1435
51800 	 300.1991
51900 	 301.6044
52000 	 308.8999
52100 	 301.6407
52200 	 299.5893
52300 	 298.8399
52400 	 297.5562
52500 	 295.9950
52600 	 297.2663
52700 	 309.7938
52800 	 299.7816
52900 	 294.4517
53000 	 298.8631
53100 	 301.4571
53200 	 297.1145
53300 	 295.4699
53400 	 294.8138
53500 	 300.7886
53600 	 306.1220
53700 	 297.0004
53800 	 293.2809
53900 	 301.7439
54000 	 298.9438
54100 	 305.6917
54200 	 303.1458
